厨 廚
逗 逗
吹 吹
垂 重
帥 帥
推 推
水 水
炊 炊
睡 睡
粋 粹
翠 翠
衰 衰
遂 遂
酔 醉
錐 錐
錘 錘
随 隨
瑞 瑞
髄 髓
崇 崇
嵩 嵩
数 數
枢 樞
趨 趨
雛 雛
据 據
杉 杉
椙 椙
菅 菅
頗 頗
雀 雀
裾 裾
澄 澄
摺 摺
寸 寸
世 世
瀬 瀨
畝 畝
是 是
凄 凄
制 制
勢 勢
姓 姓
征 征
性 性
成 成
政 政
整 整
星 星
晴 晴
棲 棲
栖 棲
正 正
清 清
牲 牲
生 生
盛 盛
精 精
聖 聖
声 聲
製 製
西 西
誠 誠
誓 誓
請 請
逝 逝
醒 醒
青 青
静 靜
斉 齊
税 稅
脆 脆
隻 隻
席 席
惜 惜
戚 戚
斥 斥
昔 昔
析 析
石 石
積 積
籍 籍
績 績
脊 脊
責 責
赤 赤
跡 跡
蹟 蹟
碩 碩
切 切
拙 拙
接 接
摂 攝
折 折
設 設
窃 竊
節 節
説 說
雪 雪
絶 絕
舌 舌
蝉 蟬
仙 仙
先 先
千 千
占 占
宣 宣
専 專
尖 尖
川 川
戦 戰
扇 扇
撰 撰
栓 栓
栴 栴
泉 泉
浅 淺
洗 洗
染 染
潜 潛
煎 煎
煽 煽
旋 旋
穿 穿
箭 箭
線 線
繊 纖
羨 羨
腺 腺
舛 舛
船 船
薦 薦
詮 詮
賎 賤
践 踐
選 選
遷 遷
銭 錢
銑 銑
閃 閃
鮮 鮮
前 前
善 善
漸 漸
然 然
全 全
禅 禪
繕 繕
膳 膳
糎 糎
噌 噌
塑 塑
岨 岨
措 措
曾 曾
曽 曾
楚 楚
狙 狙
疏 疏
疎 疎
礎 礎
祖 祖
租 租
粗 粗
素 素
組 組
蘇 蘇
訴 訴
阻 阻
遡 遡
鼠 鼠
僧 僧
創 創
双 雙
叢 叢
倉 倉
喪 喪
壮 壯
奏 奏
爽 爽
宋 宋
層 層
匝 匝
惣 惣
想 想
捜 搜
